dsid,mzp,mdh,mdm,gq,gx,acc_MET150200_2b,acc_MET200350_2b,acc_MET350500_2b,acc_MET500750_2b,acc_MET750_2b,acc_MET150200_3b,acc_MET200350_3b,acc_MET350500_3b,acc_MET500_3b,acc_total,sensitivity
100903,2000,130,655,0.25,0.5,0.000807135,0.0742067,0.0385944,0.0235582,0.00897268,0.0,0.00139573,0.000991885,0.000947535,0.149474265,0.181480333899
100904,2000,130,655,0.25,1.0,0.00146586,0.0766243,0.0395932,0.0236424,0.00735467,0.0,0.00119528,0.000935362,0.00116128,0.151972352,2.40432381384
100905,2000,130,655,0.25,1.5,0.000651456,0.0785687,0.0440193,0.024136,0.00862994,0.000104405,0.00141518,0.000862698,0.000509091,0.15889677,10.4299589036
100908,2000,130,655,0.25,3.0,0.000939434,0.0836987,0.0427385,0.0283859,0.0102884,0.0,0.00105725,0.000664106,0.00157088,0.16934317000000002,82.7245826605
100909,2000,130,655,0.25,3.5,0.00187917,0.0899682,0.0481926,0.030429,0.0110774,0.0,0.00161152,0.00066666,0.000861472,0.184686022,123.333937286
100910,2000,130,840,0.25,0.5,0.000745206,0.0779776,0.0368882,0.0258177,0.0113805,0.0,0.00130097,0.000497059,0.000743986,0.155351221,0.0607014933448
100911,2000,130,840,0.25,1.0,0.000800282,0.0738433,0.0389176,0.0274834,0.0091991,0.0,0.0011437,0.000171098,0.00106731,0.15262578999999998,0.860717141113
100912,2000,130,840,0.25,1.5,0.000775267,0.076199,0.0407165,0.0268835,0.0104362,0.000115905,0.000891734,0.00084398,0.00111795,0.15798003600000002,4.26723550374
100914,2000,130,840,0.25,2.5,0.000677953,0.0723107,0.0410894,0.0261893,0.00928595,0.00011983,0.00163822,0.00102875,0.000878962,0.153219065,24.7665583918
100915,2000,130,840,0.25,3.0,0.00106236,0.0786176,0.0384923,0.0290165,0.0115595,0.000111004,0.000939301,0.000550119,0.00155422,0.161902904,49.017234494
100917,2000,130,1025,0.25,0.5,0.00163448,0.0808334,0.0409471,0.0320672,0.0146197,0.0,0.00102374,0.000554693,0.00148443,0.173164743,0.00165687441738
100918,2000,130,1025,0.25,1.0,0.000796802,0.0764766,0.0443539,0.0343562,0.0117713,0.0,0.00068536,0.000630164,0.000832584,0.16990291,0.0246691445527
100919,2000,130,1025,0.25,1.5,0.000848039,0.0781269,0.0437539,0.030914,0.012182,0.0,0.00126616,0.00105378,0.00187111,0.17001588899999998,0.129249605569
